title,overview
Lola rennt,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks. Genre: Crime, Drama, Thriller"
Kaguyahime no monogatari,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime. Genre: Animation, Adventure, Drama"
Whiplash,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential. Genre: Drama, Music"
Happiness,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection. Genre: Comedy, Drama"
Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime. Genre: Animation, Action, Adventure"
Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down. Genre: Adventure, Thriller"
Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price. Genre: Crime, Drama"
K.G.F: Chapter 1,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people. Genre: Action, Drama"
Tôkyô goddofâzâzu,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents. Genre: Animation, Adventure, Comedy"
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard. Genre: Action, Adventure, Drama"
Kagemusha,"A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place. Genre: Drama, History, War"
"Aguirre, der Zorn Gottes","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado. Genre: Action, Adventure, Biography"
Searching,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop. Genre: Drama, Mystery, Thriller"
Toy Story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room. Genre: Animation, Adventure, Comedy"
X-Men: Days of Future Past,"The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants. Genre: Action, Adventure, Sci-Fi"
Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations. Genre: Action, Comedy, Crime"
The Count of Monte Cristo,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge. Genre: Action, Adventure, Drama"
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband. Genre: Drama, Romance"
PK,"An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people. Genre: Comedy, Drama, Musical"
The Warriors,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down. Genre: Action, Crime, Thriller"
Unforgiven,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."" Genre: Drama, Western"
Apocalypse Now,"A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god. Genre: Drama, Mystery, War"
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business. Genre: Drama"
Dawn of the Planet of the Apes,"A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier. Genre: Action, Adventure, Drama"
Adams æbler,"A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest. Genre: Comedy, Crime, Drama"
M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt. Genre: Crime, Mystery, Thriller"
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life. Genre: Crime, Drama"
The Long Goodbye,"Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder. Genre: Comedy, Crime, Drama"
My Cousin Vinny,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience. Genre: Comedy, Crime"
Serenity,"The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic. Genre: Action, Adventure, Sci-Fi"
Hable con ella,"Two men share an odd friendship while they care for two women who are both in deep comas. Genre: Drama, Mystery, Romance"
The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other. Genre: Drama, Mystery, Sci-Fi"
Kurenai no buta,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig. Genre: Animation, Adventure, Comedy"
Delicatessen,"Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants. Genre: Comedy, Crime"
The Message,"This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history. Genre: Biography, Drama, History"
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way. Genre: Drama"
Kai po che!,"Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars. Genre: Drama, Sport"
Key Largo,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other. Genre: Action, Crime, Drama"
Ôkami kodomo no Ame to Yuki,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society. Genre: Animation, Drama, Fantasy"
Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics. Genre: Comedy, Drama"
Boyz n the Hood,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects. Genre: Crime, Drama"
Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree. Genre: Crime, Drama, Mystery"
Det sjunde inseglet,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague. Genre: Drama, Fantasy, History"
The Thing,"A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims. Genre: Horror, Mystery, Sci-Fi"
Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love. Genre: Drama, Thriller"
12 Angry Men,"A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence. Genre: Crime, Drama"
End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves. Genre: Action, Crime, Drama"
Good Bye Lenin!,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared. Genre: Comedy, Drama, Romance"
Batoru rowaiaru,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act. Genre: Action, Adventure, Drama"
Rush,"The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda. Genre: Action, Biography, Drama"
Le locataire,"A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia. Genre: Drama, Thriller"
Blowup,"A fashion photographer unknowingly captures a death on film after following two lovers in a park. Genre: Drama, Mystery, Thriller"
The Station Agent,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss. Genre: Comedy, Drama"
Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family. Genre: Biography, Drama"
Seppuku,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity. Genre: Action, Drama, Mystery"
A Star Is Born,"A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral. Genre: Drama, Music, Romance"
Birdman or (The Unexpected Virtue of Ignorance),"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production. Genre: Comedy, Drama"
In America,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child. Genre: Drama
Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again. Genre: Horror, Thriller"
Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease. Genre: Drama
Donnie Brasco,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one. Genre: Biography, Crime, Drama"
The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him. Genre: Crime, Drama, Thriller"
The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal. Genre: Action, Crime, Drama"
