title,overview
The Innocents,A young governess for two children becomes convinced that the house and grounds are haunted. Genre: Horror
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed. Genre: Animation, Action, Adventure"
Lord of War,"An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent. Genre: Action, Crime, Drama"
Malcolm X,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam. Genre: Biography, Drama, History"
The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory. Genre: Action, Mystery, Thriller"
Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts. Genre: Adventure, Drama, Fantasy"
Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"". Genre: Drama, Romance"
Blazing Saddles,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary. Genre: Comedy, Western"
The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker. Genre: Crime, Drama, Mystery"
Celda 211,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal. Genre: Action, Adventure, Crime"
Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby. Genre: Animation, Family, Fantasy"
Captain America: Civil War,"Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man. Genre: Action, Adventure, Sci-Fi"
Mandariinid,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in. Genre: Drama, War"
Nuovo Cinema Paradiso,"A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist. Genre: Drama, Romance"
Sweet Smell of Success,"Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician. Genre: Drama, Film-Noir"
Y tu mamá también,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other. Genre: Drama"
Primal Fear,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep. Genre: Crime, Drama, Mystery"
Once Upon a Time... in Hollywood,"A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles. Genre: Comedy, Drama"
Harvey,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows. Genre: Comedy, Drama, Fantasy"
Willy Wonka & the Chocolate Factory,"A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory. Genre: Family, Fantasy, Musical"
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life. Genre: Adventure, Biography, Drama"
Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. Genre: Drama, Western"
Bacheha-Ye aseman,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair. Genre: Drama, Family, Sport"
Hachi: A Dog's Tale,"A college professor bonds with an abandoned dog he takes into his home. Genre: Biography, Drama, Family"
Manbiki kazoku,"A family of small-time crooks take in a child they find outside in the cold. Genre: Crime, Drama"
La piel que habito,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession. Genre: Drama, Horror, Thriller"
Sin City,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption. Genre: Crime, Thriller"
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. Genre: Action, Sci-Fi"
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies. Genre: Action, Adventure, Sci-Fi"
Witness for the Prosecution,"A veteran British barrister must defend his client in a murder trial that has surprise after surprise. Genre: Crime, Drama, Mystery"
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more. Genre: Drama"
Dangal,"Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression. Genre: Action, Biography, Drama"
Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories. Genre: Drama, Romance, Sci-Fi"
Special Chabbis,"A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers. Genre: Crime, Drama, Thriller"
The Sting,"Two grifters team up to pull off the ultimate con. Genre: Comedy, Crime, Drama"
Minority Report,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder. Genre: Action, Crime, Mystery"
Guardians of the Galaxy,"A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe. Genre: Action, Adventure, Comedy"
Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down. Genre: Comedy, Drama"
Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family. Genre: Comedy, Crime, Drama"
Avengers: Infinity War,"The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. Genre: Action, Adventure, Sci-Fi"
The Grapes of Wrath,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression. Genre: Drama, History"
Fanny och Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls. Genre: Drama"
Rockstar,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer. Genre: Drama, Music, Musical"
Cast Away,"A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island. Genre: Adventure, Drama, Romance"
The Apartment,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue. Genre: Comedy, Drama, Romance"
Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle. Genre: Drama, History"
Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy. Genre: Action, Adventure, Fantasy"
Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep. Genre: Drama
Miller's Crossing,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties. Genre: Crime, Drama, Thriller"
Hana-bi,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions. Genre: Crime, Drama, Romance"
Omohide poro poro,"A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo. Genre: Animation, Drama, Romance"
Glory,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates. Genre: Biography, Drama, History"
Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences. Genre: Drama, Sci-Fi"
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape. Genre: Biography, Crime, Drama"
Jûbê ninpûchô,"A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate. Genre: Animation, Action, Adventure"
Pâfekuto burû,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past. Genre: Animation, Crime, Mystery"
The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it. Genre: Adventure, Drama, War"
Amarcord,"A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town. Genre: Comedy, Drama, Family"
Das Experiment,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence. Genre: Drama, Thriller"
The Lost Weekend,"The desperate life of a chronic alcoholic is followed through a four-day drinking bout. Genre: Drama, Film-Noir"
Huo Yuan Jia,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation. Genre: Action, Biography, Drama"
Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit. Genre: Drama
Coraline,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets. Genre: Animation, Drama, Family"
Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school. Genre: Drama, Family"
The Remains of the Day,"A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer. Genre: Drama, Romance"
The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future. Genre: Drama, Horror"
Eastern Promises,"A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family. Genre: Action, Crime, Drama"
In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts. Genre: Drama, Film-Noir, Mystery"
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him. Genre: Action, Drama, War"
Laura,"A police detective falls in love with the woman whose murder he is investigating. Genre: Drama, Film-Noir, Mystery"
The Last King of Scotland,"Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s. Genre: Biography, Drama, History"
Fantasia,"A collection of animated interpretations of great works of Western classical music. Genre: Animation, Family, Fantasy"
The Kid,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy. Genre: Comedy, Drama, Family"
Dil Bechara,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group. Genre: Comedy, Drama, Romance"
Office Space,Three company workers who hate their jobs decide to rebel against their greedy boss. Genre: Comedy
The Outlaw Josey Wales,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family. Genre: Western
Cowboy Bebop: Tengoku no tobira,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit. Genre: Animation, Action, Crime"
Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter. Genre: Crime, Drama, Mystery"
G.O.R.A.,"A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A. Genre: Adventure, Comedy, Sci-Fi"
The Bourne Ultimatum,"Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer. Genre: Action, Mystery, Thriller"
What Ever Happened to Baby Jane?,"A former child star torments her paraplegic sister in their decaying Hollywood mansion. Genre: Drama, Horror, Thriller"
Match Point,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law. Genre: Drama, Romance, Thriller"
Stagecoach,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process. Genre: Adventure, Drama, Western"
Pride & Prejudice,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice? Genre: Drama, Romance"
Kaze no tani no Naushika,"Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet. Genre: Animation, Adventure, Fantasy"
Predator,"A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior. Genre: Action, Adventure, Sci-Fi"
Nosferatu,"Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife. Genre: Fantasy, Horror"
V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman. Genre: Action, Drama, Sci-Fi"
Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit. Genre: Biography, Crime, Drama"
Enemy at the Gates,"A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad. Genre: Drama, History, War"
Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence. Genre: Comedy, Drama"
Todo sobre mi madre,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela. Genre: Drama"
Persona,"A nurse is put in charge of a mute actress and finds that their personae are melding together. Genre: Drama, Thriller"
Le passé,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce. Genre: Drama, Mystery"
Apocalypto,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression. Genre: Action, Adventure, Drama"
The Verdict,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling. Genre: Drama
Hunt for the Wilderpeople,"A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush. Genre: Adventure, Comedy, Drama"
Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America. Genre: Adventure, Comedy, Fantasy"
Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension. Genre: Comedy, Drama, Romance"
Shadow of a Doubt,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities. Genre: Film-Noir, Thriller"
La montaña sagrada,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment. Genre: Adventure, Drama, Fantasy"
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease. Genre: Biography, Drama"
Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point. Genre: Horror, Mystery, Thriller"
Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction. Genre: Action, Adventure, Sci-Fi"
On the Waterfront,"An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses. Genre: Crime, Drama, Thriller"
Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it. Genre: Action, Drama, Mystery"
In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be. Genre: Comedy, Crime, Drama"
Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption? Genre: Drama, Romance"
Ray,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s. Genre: Biography, Drama, Music"
Lost Highway,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray. Genre: Mystery, Thriller"
Dawn of the Dead,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall. Genre: Action, Adventure, Horror"
Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country. Genre: Drama
No Country for Old Men,"Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande. Genre: Crime, Drama, Thriller"
This Is England,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit. Genre: Crime, Drama"
Udta Punjab,"A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline. Genre: Action, Crime, Drama"
Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle. Genre: Adventure, Drama"
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle. Genre: Action, Crime, Thriller"
Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers. Genre: Comedy, Drama"
Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household. Genre: Drama, History, Romance"
Scarface: The Shame of the Nation,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall. Genre: Action, Crime, Drama"
High Noon,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train. Genre: Drama, Thriller, Western"
Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic. Genre: Comedy, Romance"
Jeux d'enfants,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another. Genre: Comedy, Drama, Romance"
Hiroshima mon amour,"A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war. Genre: Drama, Romance"
